order_code,client_id,client_name,ThoiGianTao,ThoiGianLayThanhCong,ThoiGianXuatKienDauTien,ThoiGianGiaoThanhCong,TrangThaiHienTai,KhoLay_ID,KhoLay,KhoGiao_ID,KhoGiao,VungGiao,TinhGiao,weight,converted_weight,KL_TinhCuoc,length,width,height,SoKhoi_M3,ThoiGianNhanKienDauTien,weight_kg,converted_weight_kg,KL_TinhCuoc_kg
GYXA7H83,4016133,Nuti,2026-07-09 20:36:13.125000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,54,41,676,1.5,,22.6,392.7,392.7
GYXA7CFE,4639882,ANTA,2026-07-09 19:40:37.187000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22957000,Kho Giao Hàng Nặng - Tân Thuận - Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,30,0.0,,20.0,0.6,20.0
GYXAQUBW,4639882,ANTA,2026-07-09 17:09:14.140000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,21452000,Kho Giao Hàng Nặng - Bắc Từ Liêm - Hà Nội,Hà Nội,Hà Nội,,,,10,10,10,0.0,,2.0,0.2,2.0
GYXXEYA3,4647044,KEC,2026-07-09 17:02:21.821000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21712000,Kho Giao Hàng Nặng - Tân Bình - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,10,0.0,,0.1,0.2,0.2
GYXXMVEP,4639882,ANTA,2026-07-09 16:32:44.577000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22995000,Kho Giao Hàng Nặng - Độc Lập - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,200,0.0,,200.0,4.0,200.0
GYXXACF4,4865319,Aqua B2C,2026-07-09 15:06:39.041000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,103,62,57,0.4,,33.5,72.8,72.8
GYXXXXCA,4865319,Aqua B2C,2026-07-09 14:53:56.478000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,103,62,57,0.4,,33.5,72.8,72.8
GYXXHEAK,4016133,Nuti,2026-07-09 14:36:12.783000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21321001,Kho Giao Hàng Nặng - TP Sơn La - Sơn La,Khu vực 3,Điện Biên,,,,54,41,184,0.4,,4.3,86.6,86.6
GYXXHM8A,4647044,KEC,2026-07-09 14:35:23.433000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,20580000,Bưu Cục Lô DM10-6 Làng nghề Vạn Phúc-Q.Hà Đông-HN,Hà Nội,Hà Nội,,,,10,10,10,0.0,,0.1,0.2,0.2
GYXXH468,4639882,ANTA,2026-07-09 14:26:28.985000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22995000,Kho Giao Hàng Nặng - Độc Lập - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,40,0.0,,30.0,0.8,30.0
GYXXWF4U,4639882,ANTA,2026-07-09 13:32:27.089000+00:00,,,,ready_to_pick,22328000,Kho B2B - Đài Tư - Hà Nội,22957000,Kho Giao Hàng Nặng - Tân Thuận - Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,70,0.0,,60.0,1.4,60.0
GYXXKRQG,4639882,ANTA,2026-07-09 13:28:13.893000+00:00,,,,ready_to_pick,22781000,(HNO) KD Dương Nội,21606000,Kho Giao Hàng Nặng - Tân Tạo - HCM,Hồ Chí Minh,Hồ Chí Minh,,,,10,10,20,0.0,,10.0,0.4,10.0
GYXXBHET,4016133,Nuti,2026-07-09 11:31:12.730000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21337000,Kho Giao Hàng Nặng - Tân Bình - Hải Dương,Khu vực 3,Hải Dương,,,,54,41,389,0.9,,15.8,268.9,268.9
GYXXD9TL,4016133,Nuti,2026-07-09 10:16:12.638000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,39,38,48,0.1,,2.8,16.6,16.6
GYXX6MWH,4016133,Nuti,2026-07-09 09:36:12.588000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,22328000,Kho B2B - Đài Tư - Hà Nội,Hà Nội,Hà Nội,,,,26,22,96,0.1,,1.3,19.5,19.5
GYXHEB9P,4016133,Nuti,2026-07-08 21:21:12.714000+00:00,,,,ready_to_pick,1297,Key Account Warehouse Ha Noi,21086000,Kho Giao Hàng Nặng - Đông Thọ - Thanh Hoá,Khu vực 3,Thanh Hóa,,,,54,41,344,0.8,,16.3,225.9,225.9
